Sample,P,Se,Cu,Mo,Mn,Ca,K,Zn,Mg,Na,Pb,Cd,As,Ni,Cr,Hg,geometry,pH,%OM,Type
559065,240,3,7.2,0.63,23,0.04,0.07,17,0.17,0.01,55.2,0.35,10.1,9.8,24,0.1,POINT (-6.076623727341823 54.14230395025666),3.79,27.84,Clay
559066,510,5,15.5,1.07,541,0.07,0.08,43,0.04,0.01,210,1.56,28.4,3.1,5,0.18,POINT (-5.930017562671237 54.17710768500769),4.07,34.71,Clay
559067,180,1,3.6,0.5,9,0.02,0.05,13,0.005,0.01,43.6,0.46,4.2,4.2,4,0.06,POINT (-5.969707823328147 54.13295475061918),3.39,27.27,Clay
559069,990,0.5,20.1,0.49,355,0.2,0.1,49,0.39,0.03,19.6,0.17,2.2,14.1,24,0.05,POINT (-6.079608724056617 54.23677824115658),4.79,7.79,Clay
559070,120,1,3.8,0.57,66,0.02,0.12,17,0.02,0.02,51.3,0.26,4.9,1.2,1,0.06,POINT (-5.946629907742136 54.18466149992503),3.63,11.73,Clay
559071,790,0.5,44,1.23,649,0.25,0.18,134,0.94,0.02,55.3,0.42,8,42.4,78,0.07,POINT (-6.0267458738547495 54.22627370267379),4.95,11.01,Silt
559072,270,3,4.1,0.52,11,0.06,0.03,21,0.03,0.02,40.1,0.66,5,6.1,8,0.11,POINT (-6.064264861919141 54.13691221910756),3.05,71.64,Clay
559073,630,3,15.1,1.45,179,0.15,0.06,41,0.13,0.02,181,1.15,23.9,9.2,25,0.26,POINT (-5.9224101747057745 54.197158255142256),3.71,65.85,Clay
559074,420,4,9.8,1.19,26,0.08,0.04,43,0.04,0.02,131,1.16,11.5,3.1,3,0.21,POINT (-5.916007063945373 54.152649696405255),3.29,71.08,Clay
559076,1180,0.5,33.2,1.27,537,0.48,0.15,145,0.49,0.02,63.5,0.89,10.8,22.1,43,0.13,POINT (-5.941467929697223 54.24318586219082),5.44,17.31,Silt
559077,800,0.5,35,0.41,194,0.22,0.09,31,0.28,0.03,16.7,0.19,5.4,13.1,25,0.07,POINT (-6.077175911239582 54.28840442971476),4.96,9.62,Silt
559079,150,2,8.1,0.82,46,0.03,0.09,23,0.02,0.02,80.7,0.43,5.4,1.9,2,0.11,POINT (-5.986982808147743 54.17866676587912),3.19,25.04,Clay
559080,330,2,6.4,0.97,21,0.09,0.04,34,0.05,0.02,78.8,0.68,4,2.5,2,0.13,POINT (-6.1095400477689985 54.14806399242747),3.41,50.09,Clay
559082,490,4,17.8,0.97,43,0.05,0.3,36,0.63,0.01,118,0.82,16,25.2,65,0.21,POINT (-5.956922159040994 54.19931226701245),3.57,56.92,Clay
559083,320,2,9.6,0.78,15,0.05,0.04,24,0.02,0.01,96.5,0.55,5.7,1.9,1,0.13,POINT (-6.099100479976755 54.13338822136306),3.26,42.27,Clay
559084,380,3,5.2,0.69,7,0.03,0.04,20,0.02,0.02,69.3,0.63,10.9,1.7,2,0.14,POINT (-6.071892149705393 54.11963893471462),3.4,64.05,Clay
559085,380,4,7.4,1.06,12,0.06,0.03,37,0.03,0.01,112,1.34,5.3,2.4,2,0.2,POINT (-5.981965512096907 54.197703860707),3.08,77.92,Clay
559087,750,0.5,23.2,0.32,278,0.19,0.15,50,0.41,0.03,15.2,0.18,2.5,21,32,0.07,POINT (-6.037526880666499 54.28731619196009),4.71,8.5,Clay
