Sample,P,Se,Cu,Mo,Mn,Ca,K,Zn,Mg,Na,Pb,Cd,As,Ni,Cr,Hg,geometry,pH,%OM,Type
554401,1330,2,26.6,2.53,653,1.02,0.15,82,0.44,0.03,41.7,0.63,34.9,34,36,0.18,POINT (-7.720373794084306 54.47358743951373),5.79,22.41,Loam
554402,579,1,8.2,0.29,167,0.21,0.07,31,0.21,0.005,13.4,0.23,4.7,14.3,17,0.06,POINT (-7.392706526140044 54.37147228025122),4.95,7.23,Silt
554403,808,1,40.9,0.27,116,0.51,0.07,31,0.36,0.005,13.7,0.27,3.4,14.6,22,0.08,POINT (-7.549276298012581 54.34089603528862),5.35,20.95,Silt
554404,769,1,11.1,0.45,414,0.22,0.14,49,0.49,0.01,16.5,0.11,6.1,28,28,0.05,POINT (-7.647346479582778 54.39911244841368),5.34,8.33,Silt
554405,970,1,41.1,0.64,1960,0.16,0.1,74,0.58,0.02,22.1,0.22,7.4,32.9,31,0.06,POINT (-7.6210954625958385 54.41742199303636),4.57,7.52,Clay
554406,894,2,22.8,1.04,504,0.67,0.2,80,0.46,0.01,29.7,0.48,5.7,31.6,30,0.08,POINT (-7.637001781530234 54.358817748503505),5.72,13.74,Loam
554407,592,1,24.6,0.28,127,0.16,0.06,27,0.17,0.005,18.3,0.16,3.2,8.2,14,0.06,POINT (-7.470872117092618 54.367734916887464),4.56,11.45,Clay
554408,677,1,18.2,0.3,147,0.29,0.09,37,0.39,0.01,20.3,0.2,3.9,20,25,0.06,POINT (-7.6031887311669895 54.37837615356785),5.28,11.68,Silt
554409,576,1,13.3,0.36,121,0.14,0.07,20,0.26,0.01,15.1,0.16,4.5,8.7,16,0.06,POINT (-7.502173860154802 54.40389212271214),4.43,16.68,Clay
554410,1120,1,47.3,0.55,607,0.2,0.11,57,0.44,0.005,22.8,0.23,4.8,20.4,30,0.06,POINT (-7.560561532644996 54.399932552015656),4.58,11.71,Clay
554411,716,1,13.4,0.47,343,0.26,0.16,56,0.56,0.01,18,0.12,6.6,29.5,30,0.04,POINT (-7.69809073889827 54.46446059558872),5.19,9.3,Silt
554412,662,1,7.1,0.6,236,0.24,0.07,25,0.13,0.005,13.9,0.23,3.7,10.8,12,0.04,POINT (-7.424153399612738 54.34092945515658),5.5,7.59,Silt
554413,518,1,6.1,0.29,199,0.39,0.06,27,0.26,0.005,12.8,0.14,2.3,11,16,0.06,POINT (-7.502949442583164 54.38688053291479),4.87,23.79,Clay
554414,932,1,15.9,0.4,564,0.13,0.15,71,0.66,0.01,18.6,0.14,4.5,32.8,33,0.05,POINT (-7.607765442607233 54.448659681821354),4.55,8.82,Clay
554415,690,1,34.9,0.59,365,0.29,0.13,68,0.37,0.01,27.4,0.23,5.8,22.3,26,0.06,POINT (-7.607545436908748 54.408826441990655),4.74,9.63,Clay
554416,965,1,12.1,0.29,112,0.26,0.09,35,0.16,0.01,11.5,0.19,3.8,10.4,14,0.04,POINT (-7.424802883429068 54.353868978601696),5.49,9.78,Silt
554417,1280,1,14.7,0.62,573,0.11,0.11,64,0.26,0.005,20.8,0.19,4.2,16.5,21,0.03,POINT (-7.622010478510867 54.38328768974981),4.37,8.68,Clay
554418,732,1,21.2,1.13,387,0.23,0.06,38,0.12,0.005,14.3,0.5,5.3,16.3,14,0.06,POINT (-7.405172429456735 54.34574240526022),4.82,9.44,Clay
554419,1120,2,17.1,1.13,316,0.24,0.1,53,0.18,0.01,107.1,0.78,7.5,20.9,26,0.12,POINT (-7.659771969696219 54.36375320829321),4.06,24.45,Clay
554420,1100,1,11.3,0.67,475,0.15,0.1,73,0.26,0.005,52.6,0.35,5.4,12.8,19,0.12,POINT (-7.455703692359239 54.37461173952328),4.49,33.14,Clay
554421,865,1,13.4,0.5,564,0.26,0.14,60,0.61,0.01,38.4,0.16,6.8,32.4,32,0.06,POINT (-7.6242891725114985 54.45891736305685),4.88,10.82,Clay
554422,806,1,15.6,0.64,619,0.17,0.16,71,0.81,0.01,24.3,0.16,6.1,41.2,38,0.06,POINT (-7.664713907446349 54.42929239892769),4.55,13.49,Clay
554423,176,0.5,4.6,0.15,245,0.55,0.08,15,0.27,0.005,3.5,0.04,1.6,12.9,11,0.005,POINT (-7.641275152039071 54.34149231388518),7.23,1.28,Sand
554424,1220,1,15.2,0.52,505,0.19,0.09,54,0.4,0.01,16.5,0.22,3.5,15.8,28,0.08,POINT (-7.498620316974831 54.364484596272135),4.79,15.79,Clay
554425,958,1,47.4,0.48,449,0.14,0.12,50,0.55,0.01,18,0.14,7.3,28.2,31,0.06,POINT (-7.594528335944319 54.47623985496465),4.51,9.89,Clay
554426,1230,1,67.9,0.46,477,0.11,0.09,50,0.23,0.01,26.7,0.19,5,12.8,21,0.05,POINT (-7.500084453578487 54.345274792505954),4.48,9.38,Clay
554427,981,1,35.8,0.55,556,0.14,0.11,55,0.47,0.01,16.9,0.2,6.2,26.1,27,0.05,POINT (-7.632749971900345 54.3922684121946),4.43,11.57,Clay
554429,1030,3,22.5,1.71,465,0.78,0.11,60,0.31,0.01,27.6,0.7,27.8,25.4,30,0.1,POINT (-7.648036916433908 54.38142600596858),5.45,21.04,Silt
554430,664,1,40.4,0.36,188,0.18,0.08,35,0.41,0.01,18.3,0.19,6.2,19.3,28,0.06,POINT (-7.565276981748497 54.36463543968067),4.69,12.33,Clay
554431,1060,1,63.8,0.55,1170,0.16,0.15,86,0.92,0.005,23.9,0.18,6.9,44,44,0.05,POINT (-7.592690203100034 54.457871646379424),4.65,8.12,Clay
554432,853,1,12.9,0.39,156,0.33,0.1,45,0.29,0.005,23,0.19,2.7,17.7,19,0.07,POINT (-7.596538756443485 54.369163959033536),5.34,15.24,Silt
554433,1270,1,26.4,0.58,196,0.23,0.06,35,0.12,0.005,11.6,0.31,5.3,8.1,11,0.05,POINT (-7.398113299183597 54.35633502760756),5.06,10.1,Silt
554434,1000,1,22.4,0.51,507,0.29,0.13,61,0.69,0.01,22.3,0.15,6,36.4,32,0.04,POINT (-7.640781026760007 54.4262500236825),5.48,9.73,Silt
554435,714,1,24.6,0.38,185,0.32,0.11,34,0.17,0.005,29.5,0.17,3.2,11,12,0.17,POINT (-7.591504572783522 54.35243763754315),5.32,10.5,Silt
554436,875,1,27.2,0.44,452,0.11,0.11,50,0.4,0.01,19.9,0.2,4.8,20.6,25,0.05,POINT (-7.630019437155841 54.41170926298055),4.42,8.58,Clay
554438,284,2,5.1,0.29,10,0.3,0.03,25,0.16,0.03,399.3,0.26,1.5,2.5,2,0.09,POINT (-7.67981459949806 54.45484622699634),3.17,95.2,Clay
554439,930,1,18.3,0.41,286,0.15,0.13,50,0.5,0.01,23.2,0.13,4.1,25.4,26,0.04,POINT (-7.6466321642607635 54.439176458596066),4.44,11.47,Clay
554440,956,1,16.6,0.34,81,0.23,0.09,30,0.19,0.01,14.4,0.2,3.5,9.9,14,0.05,POINT (-7.466085143185651 54.34893811953529),4.89,13.8,Clay
554441,1190,1,31.1,0.3,163,0.57,0.15,39,0.35,0.02,23.8,0.2,3.1,19.3,25,0.06,POINT (-7.650066318649354 54.459354162089106),5.56,16.36,Silt
554442,674,1,14.6,0.34,354,0.18,0.13,53,0.31,0.005,23.1,0.18,4.5,15.3,15,0.04,POINT (-7.508578631539895 54.41427634450687),4.67,11.98,Clay
554443,746,1,34.9,0.37,380,0.21,0.08,42,0.45,0.01,17.4,0.19,6,21.4,28,0.08,POINT (-7.40528571520764 54.38366279123875),4.6,7.65,Clay
554444,560,1,20.1,0.31,207,0.45,0.08,33,0.54,0.005,29.1,0.22,7.1,13.3,23,0.05,POINT (-7.549941607425897 54.35317007985492),5.99,10.71,Loam
554445,499,1,8.5,0.35,168,0.72,0.08,45,0.4,0.01,25.1,0.2,3.6,19.2,17,0.11,POINT (-7.527364532823108 54.398666190739206),4.61,35.78,Clay
554446,1550,1,54.5,0.54,682,0.26,0.17,63,0.6,0.01,17.7,0.19,6.6,32.8,34,0.07,POINT (-7.607325103100147 54.46727182557371),5.15,11.58,Silt
554447,1070,1,21,0.63,568,0.29,0.14,75,0.66,0.01,23.3,0.23,10.7,43.9,42,0.08,POINT (-7.683680576798968 54.43736578000259),4.92,10.69,Silt
554448,1150,4,14.1,0.4,144,0.31,0.17,40,0.36,0.02,18.7,0.21,5.7,20.9,27,0.07,POINT (-7.672787544066946 54.44862885536548),5.05,14.01,Silt
554449,1290,1,17.3,0.41,391,0.25,0.14,56,0.53,0.01,18.6,0.2,5.3,26.7,31,0.06,POINT (-7.603880327987356 54.39284185308944),5.09,10.7,Silt
554450,881,1,21,0.51,376,0.19,0.12,52,0.41,0.01,26.6,0.2,4.4,22.2,29,0.69,POINT (-7.581463908517455 54.394562871152594),4.65,14.59,Clay
554451,410,1,20.9,0.23,125,0.12,0.08,29,0.44,0.01,14.7,0.08,3.5,20.8,25,0.06,POINT (-7.574933914801454 54.37396781165767),4.86,6.58,Clay
554452,908,2,8.5,0.37,178,0.23,0.08,53,0.65,0.01,22.9,0.25,7.8,18.8,32,0.08,POINT (-7.5283328465758 54.38137670921162),4.41,16.77,Clay
554453,655,1,10.5,0.48,198,0.09,0.06,42,0.24,0.005,23.8,0.15,3.7,13.1,19,0.07,POINT (-7.490940246517716 54.34238873981394),4.39,8.55,Clay
554454,837,1,11.1,0.44,928,0.28,0.13,52,0.64,0.01,18.6,0.15,7,36,34,0.05,POINT (-7.643751522350899 54.444342427937436),5.1,11.04,Silt
554455,1000,0.5,23.2,0.4,206,0.14,0.1,40,0.15,0.005,15.4,0.16,2.7,8.6,14,0.05,POINT (-7.439674411835143 54.38442927540187),4.71,12.08,Clay
554456,557,1,20.2,0.33,239,0.14,0.06,33,0.44,0.01,16,0.15,6.5,20.7,38,0.06,POINT (-7.515805727772338 54.37872185955897),4.58,10.95,Clay
554457,766,1,39.1,0.47,543,0.3,0.11,63,0.66,0.01,36.3,0.22,4.6,32.6,35,0.08,POINT (-7.587620670576821 54.38088423765243),5.28,12.09,Silt
554459,1760,1,99,0.56,428,0.23,0.08,65,0.32,0.01,73.2,0.32,6.2,17.8,22,0.17,POINT (-7.576764574370234 54.34261269251657),4.62,11.63,Clay
554460,935,2,29.7,0.53,244,0.88,0.05,21,0.15,0.005,27.1,0.23,8,7.1,10,0.1,POINT (-7.459721768164943 54.35338361832679),4.93,41.95,Silt
554461,964,1,45.4,0.44,111,0.14,0.05,35,0.14,0.005,19.1,0.3,4.9,7.6,13,0.06,POINT (-7.441012387096965 54.36866032048783),4.54,11.54,Clay
554462,1440,2,35.6,0.38,233,0.35,0.12,36,0.39,0.01,21.5,0.26,8.4,20.8,29,0.08,POINT (-7.592503378760071 54.44099120052263),5.05,20.99,Silt
554463,476,0.5,12.3,0.25,151,0.24,0.1,32,0.47,0.02,16.4,0.08,2.9,23.5,25,0.04,POINT (-7.588294404895907 54.40119821459704),5.41,9.21,Silt
554464,708,1,14.2,0.39,303,0.3,0.15,56,0.65,0.02,22.4,0.1,5,32.5,33,0.06,POINT (-7.639205037783009 54.467047888541366),5.39,8.72,Silt
554465,1080,1,37.7,0.52,291,0.16,0.1,49,0.38,0.02,33.1,0.18,4.8,20,24,0.07,POINT (-7.579152058784551 54.358737547586664),4.66,10.51,Clay
554466,610,1,15.3,0.37,318,0.09,0.1,40,0.4,0.01,14.5,0.16,3.1,11.1,24,0.07,POINT (-7.515570620362339 54.358184510356935),4.27,11.98,Clay
554467,816,2,12.1,0.58,169,0.22,0.08,33,0.34,0.01,47.4,0.24,7.8,17.6,27,0.11,POINT (-7.5418240497870785 54.41504495263516),4.46,22.55,Clay
554468,724,2,30.1,0.91,307,0.82,0.15,57,0.6,0.02,16.8,0.23,17.3,34.7,29,0.07,POINT (-7.673713841375685 54.467819828664645),4.98,35.67,Silt
554469,1080,2,19,0.68,219,0.53,0.08,41,0.14,0.005,39.5,0.46,3.7,13.9,13,0.09,POINT (-7.393971814611833 54.338850089577626),4.84,26.41,Clay
554470,979,1,23,0.75,735,0.37,0.2,83,0.93,0.02,24.9,0.28,7,49.1,45,0.07,POINT (-7.694343783619524 54.443735527906824),5.15,15.5,Silt
554471,487,0.5,11.4,0.39,202,0.2,0.15,41,0.46,0.02,14.4,0.08,4.7,23.1,27,0.03,POINT (-7.6863513886670285 54.47099749192706),5.11,8.68,Silt
554472,1470,2,26.5,0.93,604,0.54,0.21,103,0.46,0.01,54.9,0.37,7.4,27.5,25,0.14,POINT (-7.627889622871974 54.36970494974475),5.7,12.05,Loam
554473,1820,2,84.6,0.78,416,1.47,0.11,66,0.46,0.02,30.4,0.74,13.9,33.9,29,0.14,POINT (-7.714073777591737 54.45467172573425),5.02,48.6,Silt
554474,991,1,36.6,0.64,579,0.09,0.11,56,0.26,0.01,27.8,0.24,7.4,14.7,21,0.07,POINT (-7.483828011923561 54.35657055853498),4.2,8.22,Clay
554475,839,0.5,18.8,0.29,105,0.45,0.06,35,0.15,0.01,15,0.21,4.4,9.2,15,0.06,POINT (-7.442564158493746 54.3483825258534),5.93,11.3,Loam
554476,1190,0.5,15.3,0.64,301,0.35,0.2,52,0.54,0.02,21.6,0.25,18.3,33.9,33,0.07,POINT (-7.725347569150713 54.46333988952901),4.68,15.94,Clay
554478,665,1,27,0.65,431,4.76,0.32,74,0.82,0.02,26,0.29,6.8,49.9,36,0.07,POINT (-7.622600200915523 54.34755309998206),7.35,7.55,Sand
554479,833,0.5,22.6,0.45,637,0.15,0.13,63,0.52,0.02,32.1,0.16,5.7,32.5,37,0.09,POINT (-7.5916038424226135 54.421431231201595),4.5,11.22,Clay
554481,879,0.5,10.6,0.39,267,0.15,0.1,28,0.38,0.02,20.7,0.23,4.7,15.2,38,0.08,POINT (-7.551768495015727 54.37464755924613),4.58,14.49,Clay
554482,1280,0.5,48.4,0.5,327,1.13,0.17,137,0.54,0.05,34.4,0.53,7.3,37.3,29,0.14,POINT (-7.653345394626686 54.474554479019694),5.31,28.19,Silt
554483,994,0.5,26.9,0.34,168,0.15,0.1,42,0.22,0.02,15.1,0.22,4.1,12.8,18,0.04,POINT (-7.407255644036294 54.36338751921787),4.86,6.96,Clay
554484,814,0.5,7.1,0.27,45,0.3,0.1,19,0.14,0.02,12.8,0.17,3.7,8.9,14,0.07,POINT (-7.426734174432515 54.37090210338274),4.99,16.27,Silt
554485,1110,1,103.9,0.63,343,1.3,0.19,85,0.76,0.1,64.4,0.4,7.8,44.1,27,0.18,POINT (-7.618640653618376 54.471063138838446),5.37,27.05,Silt
554486,1130,0.5,15.4,0.37,273,0.2,0.15,49,0.41,0.02,18.7,0.2,3.6,19.5,27,0.05,POINT (-7.64672893533723 54.424363095955975),5.11,9.31,Silt
554487,838,0.5,10.3,0.39,400,0.15,0.09,35,0.38,0.02,15.8,0.17,3.5,16.4,34,0.08,POINT (-7.5643072848532285 54.350159439869195),4.58,10.68,Clay
554488,731,0.5,15.1,1.06,457,0.22,0.17,79,0.49,0.01,28.2,0.24,6.3,28.8,29,0.07,POINT (-7.613336638301263 54.33840544156908),4.66,11.49,Clay
554489,547,0.5,5.8,0.22,205,0.19,0.11,33,0.55,0.02,10.9,0.09,1.9,16.1,27,0.04,POINT (-7.524656313483583 54.36525478679127),4.72,10.81,Clay
554490,875,0.5,24.8,0.36,223,0.2,0.12,41,0.48,0.02,20.9,0.21,5.3,24.5,28,0.08,POINT (-7.551847874730084 54.39559741055942),4.57,14.37,Clay
554491,1020,0.5,15.1,0.39,172,0.34,0.12,40,0.31,0.02,38.4,0.21,3.3,18.8,23,0.1,POINT (-7.584576236371164 54.41410369902236),4.86,19.7,Clay
554492,1140,0.5,20.3,0.37,495,0.57,0.11,46,0.38,0.02,20.7,0.26,6.1,13.8,29,0.08,POINT (-7.514148148481568 54.341873586854966),5.25,14.05,Silt
554493,2200,1,86.3,0.81,355,1.47,0.12,114,0.28,0.01,91.7,0.63,6.7,23.5,17,0.34,POINT (-7.604883630827133 54.35253611758088),5.91,32.72,Loam
554494,346,0.5,6.1,0.23,76,0.26,0.1,25,0.28,0.02,15.6,0.11,1.9,15.1,19,0.06,POINT (-7.559393740694066 54.38248233129504),4.54,17.47,Clay
554495,686,0.5,16.6,0.23,243,0.22,0.14,58,0.45,0.02,16,0.14,3.5,21.7,23,0.06,POINT (-7.56305034785224 54.41781870518484),4.97,9.08,Silt
554496,974,0.5,11.5,0.59,681,0.15,0.16,50,0.42,0.02,17.2,0.17,4.9,21.2,25,0.05,POINT (-7.619406065594125 54.4052530841637),4.38,12.56,Clay
554497,675,0.5,6.3,0.28,135,0.64,0.1,24,0.15,0.02,13.9,0.2,1.9,5.5,15,0.06,POINT (-7.530008982710808 54.34783865937867),5.18,27.21,Silt
554498,592,0.5,4.9,0.17,49,0.76,0.09,20,0.23,0.01,16.6,0.25,2,6.8,14,0.07,POINT (-7.52296216449901 54.390617607915715),5.1,36.57,Silt
554499,1120,0.5,24.6,0.28,88,0.56,0.1,35,0.19,0.02,14.5,0.23,5.4,9.5,15,0.07,POINT (-7.455626805288359 54.33972808057891),5.98,10.89,Loam
554500,1640,0.5,24,1.04,371,0.38,0.17,89,0.37,0.02,36.8,0.36,7.8,22.2,25,0.07,POINT (-7.63498751035796 54.372601362174706),5.6,11.89,Loam
554501,1500,0.5,100.5,0.57,812,0.22,0.18,78,0.78,0.02,23.3,0.27,9.4,40.7,43,0.08,POINT (-7.5756643735626 54.447778550472115),4.75,11.22,Clay
554502,786,0.5,15.1,0.4,487,0.22,0.13,46,0.27,0.005,34.7,0.36,7.3,14.5,19,0.09,POINT (-7.295106797968559 54.4084123243158),4.44,8.61,Clay
554503,286,0.5,1.6,0.13,11,0.03,0.12,6,0.06,0.005,14.6,0.05,1.1,2.6,5,0.05,POINT (-7.3461844583182465 54.41844695532283),3.26,19.81,Clay
554504,1350,0.5,23,0.4,118,0.3,0.1,57,0.21,0.01,31.8,0.26,5.4,11,17,0.1,POINT (-7.40291483085701 54.42078911168629),4.34,28.3,Clay
554505,1820,0.5,44.8,0.42,754,0.27,0.23,106,1.05,0.02,23.6,0.27,8.1,55.3,49,0.06,POINT (-7.6093754854801405 54.43014110514848),4.8,10.49,Clay
554506,1030,1,11.7,0.73,188,0.16,0.1,38,0.23,0.01,26.9,0.38,20.7,14.2,22,0.13,POINT (-7.410203010486195 54.404591683999925),4.04,22.24,Clay
554507,952,0.5,36.6,1.14,575,0.13,0.13,63,0.29,0.01,21.6,0.29,7.3,18.3,20,0.06,POINT (-7.245421505852608 54.391815626507764),4.49,7.65,Clay
554508,987,0.5,15.1,0.59,393,0.2,0.11,61,0.2,0.01,32.9,0.36,8.5,13.1,26,0.1,POINT (-7.244881869126204 54.409456148839354),4.49,9.93,Clay
554509,679,0.5,6.2,0.38,274,0.22,0.11,34,0.34,0.02,19.3,0.13,2.5,11.1,26,0.08,POINT (-7.47833167812988 54.3739750495515),4.75,14.13,Clay
554510,598,0.5,16.2,0.17,173,0.24,0.13,35,0.53,0.02,17,0.2,4.5,29.5,31,0.06,POINT (-7.520030980241313 54.46888786677055),4.58,10.87,Clay
554511,782,0.5,28.7,0.32,329,0.22,0.17,54,0.7,0.02,21,0.1,6.9,35.5,39,0.06,POINT (-7.572341791485341 54.46483528892221),4.88,10.59,Clay
554512,945,0.5,27.6,0.71,241,0.12,0.06,33,0.09,0.005,16.4,0.3,4.7,9.5,13,0.05,POINT (-7.347828803043922 54.34592211872443),4.33,8.52,Clay
554513,1340,0.5,37.3,0.39,133,0.59,0.1,45,0.34,0.02,67.1,0.3,5.1,21.9,21,0.09,POINT (-7.528979059252975 54.43510050178385),4.67,35.29,Clay
554514,1030,0.5,37.3,0.38,162,0.27,0.16,43,0.41,0.02,19.3,0.15,5.6,22,26,0.06,POINT (-7.572396342411775 54.483251399818926),4.85,13.13,Clay
554515,836,0.5,18.8,0.31,210,0.08,0.2,62,0.8,0.02,20.2,0.11,6,33.1,44,0.08,POINT (-7.449805687728703 54.462308964187685),4.29,15.06,Clay
554516,1950,0.5,46.5,0.67,538,0.29,0.21,98,0.76,0.02,21.6,0.35,6.1,41.6,42,0.06,POINT (-7.530488371176405 54.494405837443445),5.07,13.09,Silt
554517,861,0.5,23.8,0.45,331,0.3,0.2,64,0.76,0.02,19.4,0.13,8.1,39.4,41,0.05,POINT (-7.498520384110565 54.493720405029244),5.33,10.28,Silt
554518,1190,0.5,54.2,0.4,229,0.07,0.09,30,0.14,0.01,21.6,0.23,6,8.4,18,0.07,POINT (-7.425506384078775 54.39490935896555),3.92,11.53,Clay
554519,706,0.5,17.6,0.22,149,0.21,0.13,30,0.25,0.01,16.6,0.15,3.1,14.1,18,0.07,POINT (-7.253526860071466 54.41680462236268),4.85,9.16,Clay
554520,1710,0.5,21.2,0.43,953,0.14,0.19,72,0.68,0.02,20.4,0.3,5.5,33.6,34,0.07,POINT (-7.500203471113545 54.47214927408719),4.47,11.49,Clay
554521,849,0.5,55.7,0.39,404,0.12,0.15,59,0.66,0.02,17.7,0.19,6.2,29.8,35,0.09,POINT (-7.4689663659465575 54.456905847950026),4.49,12.73,Clay
554522,1250,0.5,24.4,0.53,171,0.25,0.11,99,0.45,0.02,35,0.42,4.5,29,39,0.09,POINT (-7.528160401394381 54.42052613142879),4.33,24.21,Clay
554523,1150,1,34.7,0.48,341,1.41,0.12,63,0.4,0.02,37,0.39,3.9,25.8,30,0.17,POINT (-7.4939826481360345 54.45380617248075),5.16,51.95,Silt
554524,1130,0.5,16,0.58,559,0.22,0.13,49,0.53,0.02,24.4,0.19,8.4,33.3,35,0.11,POINT (-7.544315423431004 54.48336432880284),4.19,29.55,Clay
554525,1020,0.5,61.3,0.41,436,0.16,0.1,64,0.32,0.01,34.4,0.21,5.2,16.6,23,0.09,POINT (-7.424686245417865 54.41280067222382),4.46,10.52,Clay
554526,749,0.5,19.7,0.29,204,0.24,0.08,38,0.32,0.02,19.1,0.17,2.7,14.7,24,0.07,POINT (-7.463563461579958 54.38430427033101),4.87,14.33,Clay
554527,892,0.5,19.9,0.19,120,0.32,0.12,31,0.4,0.02,18.2,0.16,5.5,20.6,26,0.07,POINT (-7.545878637006497 54.446735917742096),4.99,14.07,Silt
554528,767,0.5,29,0.98,401,0.22,0.14,63,0.32,0.01,25.4,0.42,6.5,21.3,24,0.09,POINT (-7.253433335848722 54.39907034259482),4.49,8.53,Clay
554529,817,1,9,0.99,13080,0.45,0.08,42,0.58,0.02,28.4,0.22,14.8,33,43,0.1,POINT (-7.446700966994024 54.44784039814967),5.08,13.26,Silt
554530,497,0.5,7.9,0.22,148,0.14,0.09,37,0.2,0.01,48.5,0.22,3.4,13,17,0.05,POINT (-7.2661704735082635 54.38851180842086),5.69,7.78,Loam
554531,1030,0.5,15.6,0.76,347,0.34,0.14,55,0.29,0.01,19.3,0.38,5.1,20.8,19,0.04,POINT (-7.363360357531187 54.39657392094973),4.33,8.12,Clay
554532,817,0.5,9,0.18,53,0.5,0.11,17,0.12,0.005,18,0.23,2.9,6.2,11,0.08,POINT (-7.361336333533494 54.41090101854815),5.68,14.46,Loam
554533,901,0.5,19.2,0.24,232,0.18,0.19,59,0.75,0.02,22.3,0.12,6,38.3,40,0.06,POINT (-7.5576150504999635 54.45476574607037),4.62,12.47,Clay
554535,1120,0.5,31.8,0.54,1070,0.24,0.09,68,0.62,0.03,21.1,0.24,5.1,24.6,27,0.08,POINT (-7.450225738499394 54.43328529691298),4.46,16.42,Clay
554536,885,0.5,13.4,0.24,137,0.21,0.16,22,0.24,0.005,16,0.17,4,9.3,16,0.09,POINT (-7.392552655217631 54.42979281474804),4.64,10.05,Clay
554537,830,0.5,16,0.37,752,0.14,0.19,74,0.81,0.02,27.6,0.17,6.7,43.2,42,0.06,POINT (-7.577959324243355 54.42849019588455),4.48,8.15,Clay
554538,982,0.5,17.4,0.36,534,0.24,0.16,59,0.72,0.02,17.2,0.18,3.7,23.6,36,0.06,POINT (-7.441085043374537 54.43574972269145),4.73,10.1,Clay
554539,789,0.5,29.4,0.6,351,0.45,0.21,93,1.06,0.02,24.8,0.14,7.5,56.7,46,0.08,POINT (-7.556798347957289 54.493220603571054),5.02,14.13,Silt
554540,427,1,3.8,0.29,10,0.33,0.07,44,0.15,0.04,31.1,0.38,2.6,1.8,0.5,0.11,POINT (-7.349861185544549 54.38177782901486),3.23,94.5,Clay
554541,972,0.5,24.7,0.53,364,0.25,0.18,62,0.57,0.02,20.5,0.18,6.2,31.4,36,0.07,POINT (-7.508014797695919 54.49728092158547),4.95,12.6,Silt
554542,794,0.5,13.2,0.33,189,0.17,0.09,31,0.33,0.02,14.4,0.13,2.6,10,25,0.05,POINT (-7.432710760250995 54.42060041349496),4.78,10.0,Clay
554543,1880,0.5,73,0.62,892,0.29,0.2,95,0.63,0.02,25,0.21,7,30.3,35,0.07,POINT (-7.485339067530067 54.5024776655281),4.84,11.04,Clay
554544,949,0.5,9.8,0.21,313,0.31,0.14,52,0.56,0.02,20.7,0.21,4.2,27.8,34,0.05,POINT (-7.485139630944958 54.468016514962684),5.2,11.3,Silt
554545,577,0.5,11.9,0.35,475,0.24,0.12,40,0.59,0.02,17.7,0.16,5.5,17,29,0.07,POINT (-7.4679753753879945 54.418012030581544),4.78,12.69,Clay
554546,553,0.5,13.3,0.41,358,0.16,0.08,39,0.5,0.02,19.7,0.15,3.4,16,34,0.07,POINT (-7.441821301489259 54.40087912627292),4.56,12.27,Clay
554548,556,0.5,4.6,0.2,73,0.48,0.09,22,0.23,0.02,13.9,0.15,1.3,7.4,15,0.06,POINT (-7.450490659461435 54.40889628442475),4.52,34.93,Clay
554549,1180,2,12.7,0.44,167,0.91,0.08,29,0.08,0.01,20,1.08,4,7.7,18,0.09,POINT (-7.364608304607988 54.36066400993706),4.54,35.09,Clay
554550,2000,0.5,52,0.61,916,0.38,0.22,271,0.92,0.02,80.7,0.63,6.9,40.1,41,0.1,POINT (-7.423973512638396 54.46579089317257),5.24,10.6,Silt
554551,925,0.5,16.6,0.33,119,0.34,0.1,40,0.2,0.005,31.1,0.33,5.9,11.4,15,0.12,POINT (-7.270252025654831 54.40658469415545),4.46,16.5,Clay
554552,784,0.5,28.6,0.45,720,0.12,0.14,53,0.51,0.01,22.3,0.14,5.2,26.2,31,0.07,POINT (-7.51301121541595 54.448314681168256),4.48,10.61,Clay
554553,1220,0.5,26.6,0.84,538,0.13,0.15,53,0.24,0.01,32.2,0.26,5.1,13.6,15,0.07,POINT (-7.287885853448825 54.4047495452945),4.39,8.35,Clay
554554,1710,1,32.9,0.85,195,0.62,0.07,85,0.16,0.005,24.3,0.99,5.7,15.9,17,0.12,POINT (-7.255046682815229 54.38311634350584),5.01,19.92,Silt
554555,1110,0.5,22.8,0.49,120,0.37,0.09,37,0.15,0.005,22.8,0.29,3.8,8.7,12,0.07,POINT (-7.359375392287765 54.3736895552825),5.34,13.98,Silt
554556,791,0.5,7.5,0.27,94,0.29,0.14,53,0.17,0.01,48.6,0.33,5.9,11.6,14,0.14,POINT (-7.397654011097225 54.39400995673945),4.9,9.3,Clay
554557,1560,3,60.3,0.62,275,0.77,0.08,63,0.55,0.01,30,0.66,7,19.5,29,0.18,POINT (-7.483972934205477 54.40877457134519),4.73,36.43,Clay
554558,562,0.5,12.6,0.26,178,0.34,0.17,48,0.61,0.02,30.1,0.12,5.8,29.9,30,0.07,POINT (-7.4525642386849595 54.49937809125909),5.83,6.54,Loam
554559,885,0.5,20.2,0.38,298,0.29,0.13,49,0.6,0.01,23.5,0.32,8.2,38.7,36,0.11,POINT (-7.43457111839967 54.48906313507796),4.45,25.29,Clay
554561,692,1,373.3,0.3,126,0.71,0.07,37,0.42,0.01,20.5,0.26,4.5,15.1,24,0.09,POINT (-7.422114399794711 54.431384270595956),5.21,26.98,Silt
