Sample,P,Se,Cu,Mo,Mn,Ca,K,Zn,Mg,Na,Pb,Cd,As,Ni,Cr,Hg,geometry,pH,%OM,Type
557914,630,0.5,26.8,0.37,351,0.33,0.34,65,1.08,0.03,33.0,0.22,18.4,53.7,53.0,0.09,POINT (-5.574959683774101 54.318651323080715),4.95,8.33,Silt
557915,450,0.5,16.3,0.4,191,0.25,0.25,34,0.49,0.04,12.3,0.15,2.7,31.6,28.0,0.07,POINT (-5.5465938330468285 54.572381310903495),5.67,17.18,Loam
557916,1410,0.5,22.2,0.62,1160,0.17,0.34,95,0.65,0.03,21.6,0.18,5.0,31.2,37.0,0.07,POINT (-5.657344856779135 54.47643589148297),4.67,8.01,Clay
557917,430,0.5,14.3,0.64,522,0.2,0.19,70,0.56,0.02,29.7,0.17,4.0,33.8,47.0,0.08,POINT (-5.66700720014942 54.579544448672586),4.94,7.25,Silt
557918,420,0.5,24.0,0.26,367,0.17,0.36,66,0.96,0.03,15.2,0.1,5.2,45.8,49.0,0.1,POINT (-5.658825424636022 54.46483705765849),5.28,8.57,Silt
557919,530,0.5,22.7,1.14,778,0.15,0.28,77,0.79,0.03,28.1,0.17,7.7,44.6,39.0,0.08,POINT (-5.602692186868025 54.56497890061769),4.74,7.68,Clay
557920,720,0.5,17.6,0.35,224,0.22,0.25,53,1.19,0.03,23.5,0.12,11.3,51.5,56.0,0.06,POINT (-5.595231912564448 54.32316399396011),4.96,10.75,Silt
557921,810,0.5,25.0,0.93,307,0.21,0.24,63,0.81,0.02,25.1,0.17,7.6,49.1,53.0,0.1,POINT (-5.810971017190971 54.53486497287217),5.16,9.33,Silt
557922,470,0.5,28.1,1.23,1180,0.26,0.22,68,0.76,0.02,36.7,0.17,7.1,54.6,66.0,0.1,POINT (-5.838237401309558 54.47386900812552),5.19,9.89,Silt
557923,480,0.5,29.4,2.18,916,0.24,0.3,131,0.77,0.03,47.7,0.4,11.8,57.3,43.0,0.1,POINT (-5.616016768111985 54.576186901067885),5.42,8.61,Silt
557924,430,0.5,14.2,0.51,903,0.19,0.36,43,0.52,0.03,14.0,0.12,8.7,30.1,38.0,0.07,POINT (-5.467461306565117 54.50188077304992),6.14,5.61,Loam
557925,330,0.5,14.9,1.11,827,0.21,0.25,46,0.59,0.03,15.4,0.09,4.5,39.6,38.0,0.07,POINT (-5.751738628979509 54.53302311722581),5.26,8.8,Silt
557926,640,0.5,24.3,1.19,1050,0.2,0.32,61,0.9,0.04,39.0,0.22,10.0,38.4,41.0,0.1,POINT (-5.6153455427563825 54.247855973087866),4.76,11.62,Clay
557927,400,0.5,19.7,1.37,452,0.3,0.28,68,0.95,0.03,21.8,0.14,4.2,52.9,42.0,0.07,POINT (-5.813323010606274 54.449537312723734),4.95,11.94,Silt
