,Sample,P,Se,Cu,Mo,Mn,Ca,K,Zn,Mg,Na,Pb,Cd,As,Ni,Cr,pH,%OM,ARCA_ID,OBJECTID,bh,shape_star,shape_stle,hydoconnec,rainfall_2,slope_2,landclass2,host_2,soilp_2,q10_2,riverbuff2,rwb_stat_2,erosion,riskscore2,ruleid,override,SHAPE__Length,SHAPE__Area,GlobalID,SHAPE_Length,SHAPE_Area,geometry
866,561672,520,0.5,14.4,0.26,376.0,0.17,0.23,73,1.11,0.02,28.4,0.12,2.7,42.3,44.0,5.23,13.12,{87E5E22C-753C-459C-BBEE-7838FCB56A31},148084,Improved grassland,8366.88813148,484.68527053,No,0.1,0.15,0.3,0.0,0.3,0.0,0.0,0.2,0.2,1.25,2,,484.68527053,8366.88830185,{87E5E22C-753C-459C-BBEE-7838FCB56A31},0.006184036572526479,1.155643859528047e-06,POINT (-5.974243710261798 54.35878076939618)
867,561684,200,0.5,15.5,0.24,149.0,0.16,0.08,22,0.3,0.02,9.7,0.06,0.05,19.7,35.0,4.56,11.6,{112529F4-6799-4505-BBEC-BD9E17A4A1DE},62394,Improved grassland,31975.9902445,962.31569745,Yes,0.05,0.1,0.3,0.0,0.3,0.3,0.3,0.3,0.0,1.65,3,,962.31569745,31975.99052056,{112529F4-6799-4505-BBEC-BD9E17A4A1DE},0.012555488619735959,4.434020829646692e-06,POINT (-6.331363040457982 54.51514429948518)
868,561685,790,3.0,121.0,0.46,587.0,2.16,0.03,24,0.22,0.005,14.0,0.6,2.7,55.3,57.0,5.27,48.99,{B815CFA8-FB38-4834-82C7-81E1B0516E95},135883,Improved grassland,27459.0604545,679.05667334,Yes,0.05,0.1,0.3,0.0,0.3,0.3,0.0,0.3,0.0,1.35,2,,679.05667334,27459.06029529,{B815CFA8-FB38-4834-82C7-81E1B0516E95},0.008643225229866418,3.810139486536681e-06,POINT (-6.306994448209845 54.54388825223918)
869,561693,410,1.0,32.4,0.48,225.0,2.23,0.02,20,0.34,0.02,15.5,0.15,0.4,32.2,14.0,4.94,27.43,{9FB4320A-B8BD-419C-860D-0870356B742B},146102,Improved grassland,11253.2073648,447.38029631,Yes,0.05,0.05,0.3,0.0,0.3,0.3,0.0,0.3,0.0,1.3,2,,447.38029631,11253.20741112,{9FB4320A-B8BD-419C-860D-0870356B742B},0.005524526891285229,1.5611046231806157e-06,POINT (-6.322630603534228 54.53378302190272)
870,561706,710,0.5,24.7,0.48,299.0,0.16,0.2,59,0.52,0.02,36.9,0.2,5.4,33.6,31.0,4.88,13.19,{1403DDA2-EE1C-4406-81FA-51B51DFA6308},148560,Improved grassland,6317.54363375,340.73896022,Yes,0.1,0.05,0.3,0.0,0.3,0.0,0.0,0.1,0.4,1.25,2,,340.73896021,6317.54370264,{1403DDA2-EE1C-4406-81FA-51B51DFA6308},0.00408319391135143,8.730015091253096e-07,POINT (-5.920013840323077 54.379449764996295)
871,561707,1360,0.5,25.5,1.32,461.0,0.29,0.22,48,0.32,0.01,31.7,0.29,3.5,23.1,25.0,4.62,20.08,{C20ED44C-319F-4076-A5DE-0771B525EBD2},138057,Improved grassland,36126.9666195,842.31017505,Yes,0.1,0.15,0.3,0.0,0.2,0.0,0.0,0.2,0.6,1.55,3,,842.31017505,36126.96711854,{C20ED44C-319F-4076-A5DE-0771B525EBD2},0.01048885707487905,4.997304296694274e-06,POINT (-5.927669298120357 54.421479915933396)
872,561710,500,0.5,19.5,0.43,405.0,0.18,0.24,48,0.54,0.02,11.8,0.07,1.3,34.0,45.0,5.1,9.06,{50EC5320-6095-447C-89F1-503F210F9642},136577,Improved grassland,20627.1553089,564.84302346,Yes,0.1,0.15,0.3,0.0,0.3,0.0,0.0,0.2,0.0,1.05,2,,564.84302346,20627.15556884,{50EC5320-6095-447C-89F1-503F210F9642},0.006705289557277321,2.845014478670358e-06,POINT (-6.053863407046989 54.29945051881825)
873,561712,990,0.5,30.0,1.49,691.0,0.2,0.23,67,0.5,0.02,33.5,0.33,5.2,31.9,28.0,4.58,13.86,{A357D4BD-34DA-4D46-A4C2-9EFD505D916C},170418,Improved grassland,16352.1798574,630.08057099,Yes,0.1,0.1,0.3,0.0,0.2,0.0,0.0,0.2,0.0,0.9,2,,630.08057099,16352.17973792,{A357D4BD-34DA-4D46-A4C2-9EFD505D916C},0.008304973593936752,2.2615616276468468e-06,POINT (-5.947123446050364 54.41390526674103)
874,561718,760,0.5,32.8,0.63,621.0,0.08,0.16,55,0.44,0.01,28.4,0.22,4.5,29.0,35.0,4.06,10.23,{D037ABF4-8A7C-411C-B75F-59FD1E870577},74600,Improved grassland,7217.23689714,343.99705453,No,0.1,0.1,0.3,0.0,0.3,0.0,0.0,0.1,0.0,0.9,2,,343.99705453,7217.2367769,{D037ABF4-8A7C-411C-B75F-59FD1E870577},0.004448897650246012,9.97466451546691e-07,POINT (-5.927323799044359 54.38528122425511)
875,561722,810,0.5,25.5,1.34,883.0,0.13,0.15,53,0.42,0.01,21.8,0.21,3.4,29.4,35.0,4.37,10.72,{F66347C6-5F9C-4393-BAD0-259F715A719B},147864,Improved grassland,3097.19811014,221.89497953,Yes,0.1,0.15,0.3,0.0,0.3,0.0,0.0,0.2,0.0,1.05,2,,221.89497953,3097.19813037,{F66347C6-5F9C-4393-BAD0-259F715A719B},0.002723795697752481,4.2773424804190456e-07,POINT (-6.149624322643027 54.350941903096505)
876,561728,420,0.5,39.2,1.83,1010.0,0.16,0.22,89,0.93,0.01,50.5,0.16,11.1,54.2,48.0,4.59,16.57,{6EE5296A-E223-40FF-88CA-B031E0F1003C},64723,Improved grassland,19920.7176899,648.23305534,Yes,0.1,0.1,0.3,0.0,0.2,0.0,0.0,0.2,0.0,0.9,2,,648.23305534,19920.71784035,{6EE5296A-E223-40FF-88CA-B031E0F1003C},0.007300158247398354,2.7562117456979934e-06,POINT (-5.916959707701848 54.43090986314062)
877,561743,2030,2.0,51.6,1.56,833.0,0.22,0.15,58,0.41,0.01,24.4,0.35,6.5,33.8,49.0,4.71,27.94,{0A93BD40-3A5E-49BE-9CAE-FF76D8BA103C},170393,Improved grassland,20407.8107401,572.49057405,Yes,0.1,0.1,0.3,0.0,0.3,0.0,0.0,0.2,0.2,1.2,2,,572.49057405,20407.81086845,{0A93BD40-3A5E-49BE-9CAE-FF76D8BA103C},0.0072997529762891325,2.8216361475446567e-06,POINT (-5.961194513243832 54.401061238593826)
878,561746,520,0.5,28.8,0.34,535.0,0.39,0.17,47,0.79,0.02,15.6,0.2,4.2,50.9,48.0,4.74,13.34,{68C677B9-FE89-4260-B5EF-FDEE3CFFCFA1},64489,Improved grassland,12898.9009731,449.6096109,Yes,0.1,0.1,0.3,0.0,0.2,0.3,0.3,0.2,0.0,1.5,3,,449.6096109,12898.90111729,{68C677B9-FE89-4260-B5EF-FDEE3CFFCFA1},0.005825521153541112,1.7839586044001997e-06,POINT (-6.000573732783592 54.41244824819917)
